Borough,zipcode,City,highschool_graduation_rate,College Enrollment Rate,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude
Bronx,10467, BRONX,65.0,49.0,46530,True,True,40.8751267,-73.8617246
Bronx,10469, BRONX,57.0,34.0,73973,False,False,40.8602833,-73.8603759
Bronx,10462, BRONX,66.0,34.0,59538,True,False,40.8517412,-73.8644982
Bronx,10469, BRONX,75.0,72.0,73973,True,True,40.8602833,-73.8603759
Bronx,10466, BRONX,72.0,34.0,67912,True,False,40.8880644,-73.8527494
Bronx,10466, BRONX,89.0,79.0,67912,True,True,40.8880644,-73.8527494
Bronx,10469, BRONX,73.0,31.0,73973,True,False,40.8602833,-73.8603759
Bronx,10467, BRONX,59.0,36.0,46530,False,False,40.8751267,-73.8617246
Bronx,10467, BRONX,80.0,50.0,46530,True,True,40.8751267,-73.8617246
Bronx,10472, BRONX,63.0,59.0,38655,True,True,40.8316935,-73.8774638
Bronx,10459, BRONX,65.0,35.0,35536,True,False,40.82773299999999,-73.897018
Bronx,10460, BRONX,89.0,43.0,33282,True,True,40.8363157,-73.8907414
Bronx,10456, BRONX,80.0,45.0,35269,True,True,40.8273875,-73.9008013
Bronx,10460, BRONX,33.0,17.0,33282,False,False,40.8368071,-73.8877096
Bronx,10459, BRONX,64.0,33.0,35536,False,False,40.82773299999999,-73.897018
Bronx,10460, BRONX,66.0,50.0,33282,True,True,40.8437949,-73.88451529999999
Bronx,10472, BRONX,76.0,39.0,38655,True,False,40.8321027,-73.87844580000001
Bronx,10472, BRONX,90.0,68.0,38655,True,True,40.8316935,-73.8774638
Bronx,10456, BRONX,46.0,46.0,35269,False,True,40.8273875,-73.9008013
Bronx,10472, BRONX,63.0,25.0,38655,True,False,40.8321027,-73.87844580000001
Bronx,10472, BRONX,66.0,41.0,38655,True,False,40.8321027,-73.87844580000001
Bronx,10460, BRONX,62.0,41.0,33282,True,False,40.8311242,-73.88568839999999
Bronx,10460, BRONX,44.0,28.0,33282,False,False,40.8413652,-73.8752636
Bronx,10472, BRONX,66.0,36.0,38655,False,False,40.8321027,-73.87844580000001
Brooklyn,11205, BROOKLYN,60.0,32.0,60319,False,False,40.6967968,-73.9760706
Brooklyn,11201, BROOKLYN,78.0,46.0,176004,True,False,40.6973489,-73.98474759999999
Brooklyn,11205, BROOKLYN,71.0,44.0,60319,True,False,40.6917732,-73.9584849
Brooklyn,11201, BROOKLYN,98.0,91.0,176004,True,True,40.6973489,-73.98474759999999
Brooklyn,11217, BROOKLYN,89.0,63.0,145365,True,True,40.6889184,-73.97648699999999
Brooklyn,11201, BROOKLYN,88.0,82.0,176004,True,True,40.6973489,-73.98474759999999
Brooklyn,11201, BROOKLYN,67.0,62.0,176004,False,True,40.6946321,-73.9884265
Brooklyn,11238, BROOKLYN,91.0,71.0,118291,True,True,40.6785204,-73.9617427
Brooklyn,11201, BROOKLYN,98.0,79.0,176004,True,True,40.6946321,-73.9884265
Brooklyn,11216, BROOKLYN,79.0,35.0,79242,True,False,40.6855293,-73.9540295
Brooklyn,11201, BROOKLYN,95.0,79.0,176004,True,True,40.6955452,-73.985323
Brooklyn,11205, BROOKLYN,78.0,42.0,60319,True,False,40.6956408,-73.969318
Brooklyn,11201, BROOKLYN,59.0,35.0,176004,False,False,40.6955452,-73.985323
Brooklyn,11206, BROOKLYN,20.0,10.0,38430,False,False,40.7039101,-73.9537081
Brooklyn,11206, BROOKLYN,99.0,97.0,38430,True,True,40.696622,-73.9472359
Brooklyn,11206, BROOKLYN,51.0,22.0,38430,False,False,40.709729,-73.9443861
Brooklyn,11206, BROOKLYN,59.0,35.0,38430,False,False,40.709729,-73.9443861
Brooklyn,11211, BROOKLYN,54.0,27.0,63639,False,False,40.7119127,-73.9404248
Brooklyn,11211, BROOKLYN,76.0,71.0,63639,True,True,40.7119127,-73.9404248
Brooklyn,11211, BROOKLYN,83.0,54.0,63639,True,True,40.7119127,-73.9404248
Brooklyn,11211, BROOKLYN,91.0,52.0,63639,True,True,40.7154923,-73.9550398
Brooklyn,11211, BROOKLYN,87.0,66.0,63639,True,True,40.7154923,-73.9550398
Brooklyn,11211, BROOKLYN,46.0,32.0,63639,False,False,40.7154923,-73.9550398
Brooklyn,11206, BROOKLYN,49.0,24.0,38430,False,False,40.709729,-73.9443861
Brooklyn,11206, BROOKLYN,53.0,27.0,38430,False,False,40.7050566,-73.9386916
Brooklyn,11211, BROOKLYN,54.0,57.0,63639,False,True,40.7056121,-73.9555879
Brooklyn,11201, BROOKLYN,90.0,70.0,176004,True,True,40.6899893,-73.9892204
Brooklyn,11201, BROOKLYN,85.0,56.0,176004,True,True,40.6849801,-73.9937004
Brooklyn,11231, BROOKLYN,61.0,42.0,141500,False,False,40.6794537,-74.0021478
Brooklyn,11215, BROOKLYN,61.0,36.0,170511,False,False,40.6693177,-73.97864109999999
Brooklyn,11215, BROOKLYN,66.0,41.0,170511,False,False,40.6693177,-73.97864109999999
Brooklyn,11215, BROOKLYN,73.0,48.0,170511,True,False,40.6693177,-73.97864109999999
Brooklyn,11201, BROOKLYN,79.0,63.0,176004,True,True,40.6848933,-73.99085869999999
Brooklyn,11217, BROOKLYN,70.0,51.0,145365,True,True,40.6859562,-73.9798394
Brooklyn,11232, BROOKLYN,65.0,43.0,58913,False,False,40.6555967,-74.004217
Brooklyn,11215, BROOKLYN,42.0,20.0,170511,False,False,40.6693177,-73.97864109999999
Brooklyn,11221, BROOKLYN,79.0,33.0,61331,True,False,40.6919757,-73.93148839999999
Brooklyn,11213, BROOKLYN,62.0,37.0,51262,False,False,40.67892270000001,-73.9316585
Brooklyn,11221, BROOKLYN,43.0,26.0,61331,False,False,40.688414,-73.92082649999999
Brooklyn,11213, BROOKLYN,63.0,47.0,51262,False,False,40.6753921,-73.9391279
Brooklyn,11226, BROOKLYN,68.0,24.0,65178,False,False,40.64930349999999,-73.95774899999999
Brooklyn,11226, BROOKLYN,57.0,39.0,65178,False,False,40.64930349999999,-73.95774899999999
Brooklyn,11225, BROOKLYN,55.0,33.0,65968,False,False,40.67004070000001,-73.96102859999999
Brooklyn,11225, BROOKLYN,82.0,48.0,65968,True,False,40.67004070000001,-73.96102859999999
Brooklyn,11203, BROOKLYN,63.0,30.0,68184,False,False,40.6593652,-73.9431462
Brooklyn,11203, BROOKLYN,71.0,46.0,68184,True,False,40.6593652,-73.9431462
Brooklyn,11226, BROOKLYN,75.0,38.0,65178,True,False,40.64930349999999,-73.95774899999999
Brooklyn,11226, BROOKLYN,95.0,89.0,65178,True,True,40.64930349999999,-73.95774899999999
Brooklyn,11226, BROOKLYN,93.0,76.0,65178,True,True,40.64930349999999,-73.95774899999999
Brooklyn,11203, BROOKLYN,78.0,48.0,68184,True,False,40.6593652,-73.9431462
Brooklyn,11225, BROOKLYN,72.0,38.0,65968,True,False,40.67004070000001,-73.96102859999999
Brooklyn,11225, BROOKLYN,92.0,72.0,65968,True,True,40.67004070000001,-73.96102859999999
Brooklyn,11225, BROOKLYN,77.0,58.0,65968,True,True,40.667,-73.95101360000001
Brooklyn,11203, BROOKLYN,71.0,50.0,68184,True,False,40.6593652,-73.9431462
Brooklyn,11213, BROOKLYN,91.0,77.0,51262,True,True,40.6753921,-73.9391279
Brooklyn,11203, BROOKLYN,50.0,36.0,68184,False,False,40.6478943,-73.9228473
Brooklyn,11236, BROOKLYN,66.0,46.0,82853,False,False,40.6336811,-73.91751959999999
Brooklyn,11236, BROOKLYN,78.0,47.0,82853,True,False,40.6336811,-73.91751959999999
Brooklyn,11203, BROOKLYN,68.0,56.0,68184,False,True,40.6478943,-73.9228473
Brooklyn,11236, BROOKLYN,55.0,21.0,82853,False,False,40.6336811,-73.91751959999999
Brooklyn,11203, BROOKLYN,70.0,51.0,68184,True,True,40.6586846,-73.9286824
Brooklyn,11236, BROOKLYN,61.0,37.0,82853,False,False,40.640443,-73.8987798
Brooklyn,11203, BROOKLYN,90.0,60.0,68184,True,True,40.6478943,-73.9228473
Brooklyn,11236, BROOKLYN,68.0,40.0,82853,False,False,40.640443,-73.8987798
Brooklyn,11236, BROOKLYN,61.0,46.0,82853,False,False,40.6336811,-73.91751959999999
Brooklyn,11236, BROOKLYN,80.0,49.0,82853,True,False,40.640443,-73.8987798
Brooklyn,11208, BROOKLYN,93.0,62.0,50726,True,True,40.6572453,-73.8740662
