DBN,School Name,Borough,zipcode,Primary_Address_Line_1,City,State_Code,highschool_graduation_rate,Borough_Highschool_graduation_rate,College Enrollment Rate,Borough College Enrollment Rate,has_data,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude,Address
07X547,New Explorers High School,Bronx,10451,730 CONCOURSE VILLAGE WEST, BRONX,NY,74.0,59,45.0,41,True,37332,True,True,40.8215543,-73.9231229,"730 CONCOURSE VILLAGE WEST,  BRONX, NY"
07X548,Urban Assembly School for Careers in Sports,Bronx,10451,730 CONCOURSE VILLAGE WEST, BRONX,NY,65.0,59,58.0,41,True,37332,True,True,40.8215543,-73.9231229,"730 CONCOURSE VILLAGE WEST,  BRONX, NY"
07X551,The Urban Assembly Bronx Academy of Letters,Bronx,10451,339 MORRIS AVENUE, BRONX,NY,64.0,59,19.0,41,True,37332,True,False,40.81366,-73.92599899999999,"339 MORRIS AVENUE,  BRONX, NY"
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,10451,333 EAST 151 STREET, BRONX,NY,56.0,59,47.0,41,True,37332,False,True,40.8184997,-73.9195405,"333 EAST 151 STREET,  BRONX, NY"
07X670,Health Opportunities High School,Bronx,10451,350 GERARD AVENUE, BRONX,NY,66.0,59,47.0,41,True,37332,True,True,40.815542,-73.9304433,"350 GERARD AVENUE,  BRONX, NY"
08X269,Bronx Studio School for Writers and Artists,Bronx,10459,928 SIMPSON STREET, BRONX,NY,72.0,59,51.0,41,True,35536,True,True,40.8203827,-73.8930381,"928 SIMPSON STREET,  BRONX, NY"
08X282,Women's Academy of Excellence,Bronx,10473,456 WHITE PLAINS ROAD, BRONX,NY,73.0,59,54.0,41,True,51096,True,True,40.814901,-73.8560573,"456 WHITE PLAINS ROAD,  BRONX, NY"
08X293,Renaissance High School for Musical Theater & Technology,Bronx,10461,3000 EAST TREMONT AVENUE, BRONX,NY,70.0,59,30.0,41,True,68066,True,False,40.8398166,-73.83795490000001,"3000 EAST TREMONT AVENUE,  BRONX, NY"
08X305,Pablo Neruda Academy,Bronx,10473,1980 LAFAYETTE AVENUE, BRONX,NY,68.0,59,45.0,41,True,51096,True,True,40.8215141,-73.85541409999999,"1980 LAFAYETTE AVENUE,  BRONX, NY"
08X332,Holcombe L. Rucker School of Community Research,Bronx,10459,965 LONGWOOD AVENUE, BRONX,NY,46.0,59,28.0,41,True,35536,False,False,40.8178276,-73.8978152,"965 LONGWOOD AVENUE,  BRONX, NY"
08X367,"Archimedes Academy for Math, Science and Technology Applications",Bronx,10473,456 WHITE PLAINS ROAD, BRONX,NY,53.0,59,50.0,41,True,51096,False,True,40.814901,-73.8560573,"456 WHITE PLAINS ROAD,  BRONX, NY"
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Bronx,10473,1980 LAFAYETTE AVENUE, BRONX,NY,59.0,59,50.0,41,True,51096,False,True,40.8215141,-73.85541409999999,"1980 LAFAYETTE AVENUE,  BRONX, NY"
08X405,Herbert H. Lehman High School,Bronx,10461,3000 EAST TREMONT AVENUE, BRONX,NY,52.0,59,37.0,41,True,68066,False,False,40.8398166,-73.83795490000001,"3000 EAST TREMONT AVENUE,  BRONX, NY"
08X432,BRONX BRIDGES HIGH SCHOOL,Bronx,10473,1980 LAFAYETTE AVENUE, BRONX,NY,66.0,59,50.0,41,True,51096,True,True,40.8215141,-73.85541409999999,"1980 LAFAYETTE AVENUE,  BRONX, NY"
08X452,Bronx Guild,Bronx,10473,1980 LAFAYETTE AVENUE, BRONX,NY,57.0,59,32.0,41,True,51096,False,False,40.8215141,-73.85541409999999,"1980 LAFAYETTE AVENUE,  BRONX, NY"
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",Bronx,10473,1440 STORY AVENUE, BRONX,NY,42.0,59,24.0,41,True,51096,False,False,40.8210968,-73.88112679999999,"1440 STORY AVENUE,  BRONX, NY"
08X530,Banana Kelly High School,Bronx,10459,965 LONGWOOD AVENUE, BRONX,NY,40.0,59,22.0,41,True,35536,False,False,40.8178276,-73.8978152,"965 LONGWOOD AVENUE,  BRONX, NY"
09X227,Bronx Collegiate Academy,Bronx,10457,240 EAST 172 STREET, BRONX,NY,55.0,59,34.0,41,True,38096,False,False,40.8398672,-73.9111588,"240 EAST 172 STREET,  BRONX, NY"
09X231,Eagle Academy for Young Men,Bronx,10457,4143 THIRD AVENUE, BRONX,NY,71.0,59,51.0,41,True,38096,True,True,40.845289,-73.8972161,"4143 THIRD AVENUE,  BRONX, NY"
09X241,"Urban Assembly School for Applied Math and Science, The",Bronx,10457,1595 BATHGATE AVENUE, BRONX,NY,76.0,59,69.0,41,True,38096,True,True,40.8394008,-73.9019661,"1595 BATHGATE AVENUE,  BRONX, NY"
09X250,Eximius College Preparatory Academy: A College Board School,Bronx,10456,1363 FULTON AVENUE, BRONX,NY,85.0,59,68.0,41,True,35269,True,True,40.8339721,-73.9027472,"1363 FULTON AVENUE,  BRONX, NY"
09X252,Mott Hall Bronx High School,Bronx,10457,1595 BATHGATE AVENUE, BRONX,NY,69.0,59,69.0,41,True,38096,True,True,40.8394008,-73.9019661,"1595 BATHGATE AVENUE,  BRONX, NY"
09X260,Bronx Center for Science and Mathematics,Bronx,10456,1363 FULTON AVENUE, BRONX,NY,88.0,59,83.0,41,True,35269,True,True,40.8339721,-73.9027472,"1363 FULTON AVENUE,  BRONX, NY"
09X263,Validus Preparatory Academy: An Expeditionary Learning School,Bronx,10457,1595 BATHGATE AVENUE, BRONX,NY,58.0,59,49.0,41,True,38096,False,True,40.8394008,-73.9019661,"1595 BATHGATE AVENUE,  BRONX, NY"
09X276,Leadership Institute,Bronx,10457,1701 FULTON AVENUE, BRONX,NY,41.0,59,25.0,41,True,38096,False,False,40.8411563,-73.8983267,"1701 FULTON AVENUE,  BRONX, NY"
